responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_emoney?,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,penggunaan_1,penggunaan_2,penggunaan_3,penggunaan_4,penggunaan_5,metode_topup_1,metode_topup_2,metode_topup_3,metode_topup_4,metode_topup_5,keluhan_1,keluhan_2,keluhan_3
15,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,Internet Banking,,,,,
16,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,ATM,,Internet Banking,,Top up di minimarket,,Nominal saldo berkurang tanpa digunakan untuk transaksi,Telah Top Up tapi saldo tidak bertambah
17,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,Top up di minimarket,,,
18,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
19,Laki – laki,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,,,
20,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,,,
21,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
22,Perempuan,>50 tahun,S2,> Rp 10 juta,,,,,,ya,GoPay,,,,,,,,,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
23,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
24,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
25,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
26,Perempuan,41-50 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,,,,,,,
27,Laki – laki,>50 tahun,S2,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,GoPay,,LinkAja,,,Pembayaran transportasi online,Pembayaran tol,,,,ATM,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
28,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,,,Pembayaran e-commerce,,,ATM,,,,Top up di minimarket,,,
29,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
30,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,,,
31,Perempuan,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
32,Laki – laki,41-50 tahun,S1,> Rp 10 juta,,,,Akses media sosial,,ya,,OVO,,,,Pembayaran transportasi online,,,,,,,,Melalui Driver,,,,
33,Laki – laki,21-30 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
34,Perempuan,41-50 tahun,tidak menjawab,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,LinkAja,,,,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,
35,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
36,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,,,,ya,GoPay,OVO,,,ShopeePay,,,,,,,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
37,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,,,
38,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
39,Perempuan,15-20 tahun,S1,< Rp 2 juta,,,,,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
40,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,OVO,LinkAja,Dana,ShopeePay,,,Pembayaran e-commerce,,,,,,,,,,
41,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
42,Laki – laki,15-20 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,Top up di minimarket,,,
43,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,,,,,,,
44,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
45,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,ATM,Mobile Banking,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
46,Laki – laki,21-30 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
47,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,,,,,Pembayaran di restauran/ cafe,,ATM,,,,,,,
48,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,,,,,,,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
49,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,,,,Aplikasi tidak bisa digunakan/ diakses,,
50,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,,,,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
51,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,,,,,Aplikasi tidak bisa digunakan/ diakses,,
52,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
53,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,,,Akses media sosial,,ya,GoPay,OVO,LinkAja,,,Pembayaran transportasi online,Pembayaran tol,,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
54,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
55,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,,,ya,,OVO,,,,Pembayaran transportasi online,,,,,ATM,,,,,Aplikasi tidak bisa digunakan/ diakses,,
56,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
57,Laki – laki,21-30 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
58,Laki – laki,21-30 tahun,S1,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
59,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,Internet Banking,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
60,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,,,,,Mobile Banking,,,,,,
61,Perempuan,15-20 tahun,SMA,Rp 5 juta – Rp 10 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,,,,ShopeePay,,,Pembayaran e-commerce,,,,,,,Top up di minimarket,,,
62,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,
63,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,Top up di minimarket,,,Telah Top Up tapi saldo tidak bertambah
64,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,Internet Banking,,,,,
65,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,,,,,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
66,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,Internet Banking,,,Aplikasi tidak bisa digunakan/ diakses,,
67,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
68,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
69,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,,,,,,,,,,,,Top up di minimarket,,,
70,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,Telah Top Up tapi saldo tidak bertambah
71,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
72,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
73,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,Top up di minimarket,,,
74,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,,,,ATM,Mobile Banking,Internet Banking,,,,,
75,Perempuan,21-30 tahun,S1,< Rp 2 juta,,,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
76,Perempuan,>50 tahun,S1,Rp 5 juta – Rp 10 juta,,,,Akses media sosial,,ya,GoPay,,,,,,Pembayaran tol,Pembayaran e-commerce,,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
77,Perempuan,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,,,ATM,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
78,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,,,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,,,ATM,Mobile Banking,,Melalui Driver,,,,
79,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
80,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,Dana,,,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
81,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
82,Perempuan,21-30 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
83,Perempuan,41-50 tahun,S1,> Rp 10 juta,,,,,,ya,,OVO,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,Internet Banking,,,,,
84,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,,,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
85,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,Dana,ShopeePay,,,Pembayaran e-commerce,,,ATM,,Internet Banking,Melalui Driver,,,,Telah Top Up tapi saldo tidak bertambah
86,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,Nominal saldo berkurang tanpa digunakan untuk transaksi,
87,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
88,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
89,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
90,Perempuan,21-30 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,tidak,,,,,,,,,,,,,,,,,,
91,Perempuan,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,OVO,,,ShopeePay,,Pembayaran tol,,,,,,,,,,,
92,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,Dana,ShopeePay,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,
93,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
94,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,ShopeePay,,,Pembayaran e-commerce,,,,Mobile Banking,,,,,,
